date,latitude,longitude,aqi,pm25,pm10,no2,so2,co,station_id,city
2024-05-16,28.753019364763787,77.35313201128209,120,41.8,55.9,46.2,2.2,0.1,AQ_009,Delhi
2024-05-17,28.58785464758147,77.4766535192952,60,30.7,72.6,2.5,13.3,0.3,AQ_010,Delhi
2024-05-18,28.61432688738452,77.44721018283914,131,31.5,91.2,47.1,4.1,0.63,AQ_011,Delhi
2024-05-19,28.717133406665344,77.22589662583599,43,39.7,48.9,39.8,18.8,0.3,AQ_012,Delhi
2024-05-20,28.481969548548644,77.20871879624114,158,45.2,99.2,6.5,30.4,0.51,AQ_013,Delhi
2024-05-21,28.656444098571093,77.3037922426014,140,68.4,28.9,58.9,15.7,1.81,AQ_014,Delhi
2024-05-22,28.49309502229016,77.04174400698709,81,26.3,90.3,89.1,19.9,0.2,AQ_015,Delhi
2024-05-23,28.35474957588191,76.99139752875928,81,37.7,124.7,2.9,113.3,1.93,AQ_016,Delhi
2024-05-24,28.555265030936734,77.13812041119625,128,56.1,109.5,18.9,2.0,1.17,AQ_017,Delhi
2024-05-25,28.69997087936076,77.39208533705718,62,40.9,136.1,4.0,1.2,1.64,AQ_018,Delhi
2024-05-26,28.664688357649972,77.15933075525763,118,46.9,72.5,15.6,6.1,0.11,AQ_019,Delhi
2024-05-27,28.61212542582818,77.43438713587142,137,67.2,57.0,5.1,17.7,1.97,AQ_020,Delhi
2024-05-28,28.97275478989066,76.79078306753725,69,47.9,91.3,13.7,21.3,2.03,AQ_021,Delhi
2024-05-29,28.675836824046318,76.97091903598186,107,68.9,92.6,76.0,2.3,1.31,AQ_022,Delhi
2024-05-30,28.760710400890602,77.19044669007165,72,35.4,65.9,17.3,27.9,0.41,AQ_023,Delhi
2024-05-31,28.949621500774693,77.34222918120113,146,75.8,82.8,4.2,13.6,2.72,AQ_024,Delhi
2024-06-01,28.419787201525814,77.19855653519198,90,39.5,65.4,44.7,8.2,1.83,AQ_000,Delhi
2024-06-02,28.45808176846926,77.19465208832601,45,6.3,69.4,14.8,30.1,0.41,AQ_001,Delhi
2024-06-03,28.87545683376844,77.19073877571144,82,50.2,67.0,90.7,24.0,1.58,AQ_002,Delhi
2024-06-04,28.494190589713842,76.94456533983984,81,22.8,67.9,18.9,8.4,0.16,AQ_003,Delhi
2024-06-05,28.6183524845455,77.38271033116598,70,59.9,26.4,23.4,2.0,0.27,AQ_004,Delhi
2024-06-06,28.774297395413654,77.10658529202439,78,31.3,72.6,80.7,1.0,0.56,AQ_005,Delhi
2024-06-07,28.747505958693978,77.37242989858217,96,37.1,91.5,146.0,5.8,0.67,AQ_006,Delhi
2024-06-08,28.87713292729717,77.19842148730565,111,68.5,72.8,11.2,18.4,0.13,AQ_007,Delhi
2024-06-09,28.838246620555022,77.36922405809936,64,42.8,79.2,11.1,7.8,0.44,AQ_008,Delhi
2024-06-10,28.77430890045586,77.26048869714664,49,51.3,62.0,8.2,11.3,1.64,AQ_009,Delhi
2024-06-11,28.497993692862924,77.19299882641627,111,38.9,66.2,52.2,7.5,2.52,AQ_010,Delhi
2024-06-12,28.733129400168984,77.2429392470603,74,28.0,74.9,3.7,1.6,3.19,AQ_011,Delhi
2024-06-13,28.661040799176032,76.98805335863327,131,34.0,86.5,52.2,33.5,1.54,AQ_012,Delhi
2024-06-14,28.414960181008933,77.20990439907565,66,44.2,28.5,9.1,15.2,3.41,AQ_013,Delhi
2024-06-15,28.82649485697153,77.46640604831683,112,34.0,57.0,37.1,25.7,0.2,AQ_014,Delhi
2024-06-16,28.734985480186786,77.4052290345983,88,14.8,52.1,41.2,7.8,0.0,AQ_015,Delhi
2024-06-17,28.620723512094667,77.06124646259529,59,25.2,61.2,12.3,3.7,4.14,AQ_016,Delhi
2024-06-18,28.57893619085234,77.28485287770069,60,23.1,52.5,22.2,33.4,2.26,AQ_017,Delhi
2024-06-19,28.434154828294883,77.24619698271214,68,23.1,44.1,18.2,14.2,0.26,AQ_018,Delhi
2024-06-20,28.643828611033797,77.33157824201761,66,19.9,69.0,9.0,16.9,3.08,AQ_019,Delhi
2024-06-21,28.684165867916846,77.22312293282833,76,42.5,74.9,37.4,55.0,0.15,AQ_020,Delhi
2024-06-22,28.48922675236351,77.17397440103049,58,33.8,61.8,41.3,80.8,0.4,AQ_021,Delhi
2024-06-23,28.78823060736493,77.4085946164541,100,46.1,68.1,2.2,3.9,0.52,AQ_022,Delhi
2024-06-24,28.449319543027546,77.24145948524081,74,32.0,53.6,46.4,4.7,1.06,AQ_023,Delhi
2024-06-25,28.295434947493636,77.39731964829195,86,19.5,33.6,2.3,18.1,1.51,AQ_024,Delhi
2024-06-26,28.769859063633906,77.35515793050168,92,49.5,59.1,113.5,19.8,4.92,AQ_000,Delhi
2024-06-27,28.553395094284685,77.16032691377217,75,32.0,73.0,27.8,30.6,1.84,AQ_001,Delhi
2024-06-28,28.59499556220305,77.18394995884643,82,33.6,83.1,89.5,2.0,2.47,AQ_002,Delhi
2024-06-29,28.488272491576243,77.49847486509985,95,14.8,74.5,17.4,40.0,0.26,AQ_003,Delhi
2024-06-30,28.37300558589239,77.23772234881599,104,20.6,77.1,34.9,3.2,0.07,AQ_004,Delhi
2024-07-01,28.802185606208635,77.095205736496,94,43.0,68.1,11.9,12.7,1.38,AQ_005,Delhi
2024-07-02,28.510569652422962,77.02899350830225,68,37.1,76.5,61.0,8.2,1.59,AQ_006,Delhi
2024-07-03,28.86304287322219,77.35511986528867,95,21.7,57.5,31.3,11.8,0.02,AQ_007,Delhi
2024-07-04,28.73499622793161,77.23304405816444,98,22.5,56.6,13.0,11.2,0.42,AQ_008,Delhi
2024-07-05,28.566686277992382,77.09018620742066,66,47.7,49.4,38.9,11.9,1.79,AQ_009,Delhi
2024-07-06,28.45101463983097,77.31018772468549,68,23.7,28.4,67.8,6.0,3.5,AQ_010,Delhi
2024-07-07,28.504030701991933,77.2329623042584,139,33.3,61.6,18.7,4.6,2.25,AQ_011,Delhi
2024-07-08,28.432021530335724,76.95992873938556,71,5.1,70.2,82.1,55.8,0.3,AQ_012,Delhi
2024-07-09,28.92696700393823,77.29730283320663,81,39.9,52.4,1.4,0.2,0.85,AQ_013,Delhi
2024-07-10,28.638566184534476,77.40897860542648,97,34.8,57.8,40.9,16.6,1.97,AQ_014,Delhi
2024-07-11,28.786430831381995,77.59297753459488,93,36.7,66.8,120.1,0.1,0.85,AQ_015,Delhi
2024-07-12,28.42379719264847,77.21423538460931,74,50.2,91.2,136.0,16.2,1.44,AQ_016,Delhi
2024-07-13,28.64105526943955,77.24389744873159,71,52.5,62.9,8.2,10.0,2.13,AQ_017,Delhi
2024-07-14,28.790579290821288,77.44998952078522,81,55.3,69.3,9.2,2.1,0.96,AQ_018,Delhi
2024-07-15,28.56364838571005,77.23430834004047,104,60.3,44.1,20.3,3.4,1.86,AQ_019,Delhi
2024-07-16,28.768567168838263,77.250301279462,85,66.3,84.2,27.2,5.5,0.13,AQ_020,Delhi
2024-07-17,28.451214813199137,77.11440724128542,38,24.3,31.0,7.6,5.9,0.29,AQ_021,Delhi
2024-07-18,28.409379268307212,76.99984373309303,89,52.9,52.8,57.3,1.7,0.6,AQ_022,Delhi
2024-07-19,28.67081009181172,77.34590319037298,46,43.3,64.6,7.5,1.7,0.11,AQ_023,Delhi
2024-07-20,28.557023534814117,77.01796446447817,91,28.8,35.5,41.7,2.3,0.06,AQ_024,Delhi
2024-07-21,28.710208203390774,77.38009843644213,72,46.2,66.1,16.3,5.2,1.89,AQ_000,Delhi
2024-07-22,28.317216810271933,77.09077516616685,28,43.1,69.7,44.1,17.6,0.32,AQ_001,Delhi
2024-07-23,28.720739695320578,77.24878509375975,56,49.2,49.8,16.5,7.5,0.06,AQ_002,Delhi
2024-07-24,29.003645589090397,77.15315924029626,87,40.1,74.9,45.2,16.4,0.63,AQ_003,Delhi
2024-07-25,28.61020610278528,77.38519003569361,52,35.3,50.4,31.0,13.7,2.24,AQ_004,Delhi
2024-07-26,28.619021319336476,77.25412696033099,56,64.9,67.3,1.3,40.6,2.81,AQ_005,Delhi
2024-07-27,28.6408324226958,77.50286430287608,83,17.6,70.0,9.0,9.7,0.4,AQ_006,Delhi
2024-07-28,28.334603643381232,77.04644834809606,97,63.2,95.7,2.6,15.0,0.15,AQ_007,Delhi
2024-07-29,28.677821995953547,77.27107946223036,74,10.5,63.4,14.0,28.6,0.36,AQ_008,Delhi
2024-07-30,28.373088538397607,77.21610128213608,94,76.9,50.0,26.4,0.3,0.71,AQ_009,Delhi
2024-07-31,28.54974806028143,77.25099153568854,6,50.5,71.3,80.7,3.8,0.25,AQ_010,Delhi
2024-08-01,28.80033043244056,77.44838817574157,100,43.8,37.6,8.7,16.4,1.72,AQ_011,Delhi
2024-08-02,28.50361745658499,77.29679770451385,84,30.1,39.0,9.0,34.0,1.39,AQ_012,Delhi
2024-08-03,28.689087348435113,77.03687118869843,62,17.3,72.5,13.4,24.9,0.62,AQ_013,Delhi
2024-08-04,28.765810858093456,77.28902662275098,66,43.2,48.7,51.8,16.8,4.73,AQ_014,Delhi
2024-08-05,28.6557111284144,77.14665709357664,88,40.8,80.5,31.0,7.1,0.08,AQ_015,Delhi
2024-08-06,28.40825772948581,77.13799675448938,50,31.5,60.5,52.0,6.3,1.61,AQ_016,Delhi
2024-08-07,28.56402870869729,77.365878599205,69,40.5,79.3,0.2,12.0,0.29,AQ_017,Delhi
2024-08-08,28.907811701358245,77.11864900254606,70,54.7,24.0,7.8,2.6,0.79,AQ_018,Delhi
2024-08-09,28.31014313555038,77.15204045086298,66,48.9,61.7,15.4,5.8,2.56,AQ_019,Delhi
2024-08-10,28.572532097920075,77.21386108816058,63,40.2,63.0,20.6,10.1,1.93,AQ_020,Delhi
2024-08-11,28.531083789276785,77.3509278845118,81,27.1,36.3,11.4,82.4,0.26,AQ_021,Delhi
2024-08-12,28.63201210446457,77.29623847042919,76,15.7,72.9,17.2,17.3,2.56,AQ_022,Delhi
2024-08-13,28.726132342578087,77.17383776321232,70,49.0,41.7,15.3,4.4,3.31,AQ_023,Delhi
2024-08-14,28.85520364520331,77.16817353014689,75,77.8,69.8,1.4,1.9,3.15,AQ_024,Delhi
2024-08-15,28.57336514119863,77.03498055076997,83,10.2,11.6,7.6,10.1,0.87,AQ_000,Delhi
2024-08-16,28.735751199496523,77.09502473671111,101,55.7,72.1,16.4,5.4,0.59,AQ_001,Delhi
2024-08-17,28.688861021729778,77.11084283712692,95,34.7,62.3,42.3,1.3,0.84,AQ_002,Delhi
2024-08-18,28.68505209468077,77.18660635873789,56,27.9,46.8,61.9,13.0,2.45,AQ_003,Delhi
2024-08-19,28.52931141027103,77.50701445557537,103,15.7,38.5,108.0,18.8,1.05,AQ_004,Delhi
2024-08-20,28.464301779683616,77.10767958493204,78,12.6,85.7,21.4,6.3,2.96,AQ_005,Delhi
2024-08-21,28.448893533106897,77.16462563981416,76,37.3,114.5,20.0,17.2,0.91,AQ_006,Delhi
2024-08-22,28.50043441859013,76.90114023925351,37,43.2,68.2,11.5,2.0,0.31,AQ_007,Delhi
2024-08-23,28.662152986379937,77.29908566414657,69,10.6,46.8,35.6,6.5,1.32,AQ_008,Delhi
2024-08-24,28.72804240896925,76.97238268092595,75,32.6,59.7,2.2,5.6,3.2,AQ_009,Delhi
2024-08-25,28.662420327178534,77.07301157167535,103,8.0,43.9,10.5,12.0,0.9,AQ_010,Delhi
2024-08-26,28.53155673557064,77.36535030526615,51,6.7,43.8,6.8,0.6,4.37,AQ_011,Delhi
2024-08-27,28.884795516489874,76.89326073556316,64,32.8,45.3,43.3,26.2,0.03,AQ_012,Delhi
2024-08-28,28.841729843544734,77.2233880618593,87,8.1,64.2,3.5,6.2,0.2,AQ_013,Delhi
2024-08-29,28.560799983087474,77.32913944699978,38,3.8,71.5,11.7,38.6,1.45,AQ_014,Delhi
2024-08-30,28.49038528910215,77.43781663546605,115,27.9,30.2,8.2,4.8,0.02,AQ_015,Delhi
2024-08-31,28.633432243123696,77.07098603372656,84,44.8,31.3,42.0,1.8,5.38,AQ_016,Delhi
2024-09-01,28.803994796758154,77.11539627246403,61,34.7,58.3,11.1,9.2,0.59,AQ_017,Delhi
2024-09-02,28.66381474658812,77.47966544851039,84,32.3,56.9,21.4,1.1,1.86,AQ_018,Delhi
2024-09-03,28.697382305736507,77.20524097831276,61,15.9,68.9,38.6,26.2,1.95,AQ_019,Delhi
2024-09-04,28.582087981658656,77.09856040985956,90,33.5,81.4,9.7,14.9,0.68,AQ_020,Delhi
2024-09-05,28.682340634280337,77.10137712440392,79,54.0,39.4,4.0,24.0,2.89,AQ_021,Delhi
2024-09-06,28.84558166771842,77.06311655146489,77,0.0,87.7,19.4,18.7,0.0,AQ_022,Delhi
2024-09-07,28.577949682778346,77.1430491691861,120,23.1,82.4,73.6,4.6,1.12,AQ_023,Delhi
2024-09-08,28.635396159876183,77.3722330714674,96,24.4,71.7,40.4,24.1,0.22,AQ_024,Delhi
2024-09-09,28.651972471482445,77.34216491028602,113,35.0,51.4,12.7,22.8,0.16,AQ_000,Delhi
2024-09-10,28.656458803365656,77.0328594545762,76,47.4,51.1,5.3,7.4,1.21,AQ_001,Delhi
2024-09-11,28.40211666858932,77.24118791120564,93,21.6,71.9,59.4,2.1,0.0,AQ_002,Delhi
2024-09-12,28.332369701618916,77.14867603973913,110,45.9,50.1,4.1,21.6,3.97,AQ_003,Delhi
2024-09-13,28.460951739361725,77.32636606061567,104,37.4,76.7,45.4,10.0,1.38,AQ_004,Delhi
2024-09-14,28.639091344310252,77.18554604091561,56,31.3,51.0,2.4,4.1,3.35,AQ_005,Delhi
2024-09-15,28.696978424900482,77.26472870226996,79,27.4,23.5,45.6,13.4,0.33,AQ_006,Delhi
2024-09-16,28.534298816033957,77.18520921895623,84,28.6,59.5,0.5,19.9,0.28,AQ_007,Delhi
2024-09-17,28.820488622430098,76.88093711040428,77,39.2,52.9,15.8,16.5,1.48,AQ_008,Delhi
2024-09-18,28.592423603851074,77.2160503668053,126,72.1,63.0,31.5,14.7,0.69,AQ_009,Delhi
2024-09-19,28.616947399735196,77.01823795757049,79,26.0,40.5,0.8,1.5,0.22,AQ_010,Delhi
2024-09-20,28.5848054194171,77.32106926175153,103,53.2,86.1,115.0,5.9,0.21,AQ_011,Delhi
2024-09-21,28.634004018912,77.10702581614004,67,42.9,67.6,107.4,4.2,0.76,AQ_012,Delhi
2024-09-22,28.719571111106543,77.11824810158906,64,14.3,45.8,37.4,4.7,1.08,AQ_013,Delhi
2024-09-23,28.71374801568685,77.20766457624816,89,63.8,33.4,55.7,2.0,3.19,AQ_014,Delhi
2024-09-24,28.47913655890856,77.29566909313365,93,44.0,63.1,10.2,41.1,1.53,AQ_015,Delhi
2024-09-25,28.84244956647178,77.18353842733013,59,37.9,76.2,6.2,15.2,1.25,AQ_016,Delhi
2024-09-26,28.449646031385964,77.45532741580675,109,47.3,39.9,8.7,30.0,0.76,AQ_017,Delhi
2024-09-27,28.62578405211359,77.45632267922288,133,34.1,57.7,31.9,13.6,0.11,AQ_018,Delhi
2024-09-28,28.57274051397165,77.4663202888255,105,28.2,62.7,21.1,1.7,1.41,AQ_019,Delhi
2024-09-29,28.456551248402228,77.17385219131619,102,45.5,62.8,13.4,0.2,2.56,AQ_020,Delhi
2024-09-30,28.602631911803925,76.98670623158458,80,63.7,17.2,56.3,4.6,0.59,AQ_021,Delhi
2024-10-01,28.50277793400614,77.39201177713575,87,25.4,69.5,28.3,36.3,0.09,AQ_022,Delhi
2024-10-02,28.62483608649141,77.14654820720504,70,66.3,73.3,19.9,11.3,0.81,AQ_023,Delhi
2024-10-03,28.674362894182906,77.2147249468003,90,54.3,56.5,24.3,27.3,5.29,AQ_024,Delhi
2024-10-04,28.83468940534599,77.30324801542828,109,41.0,76.4,9.5,8.8,0.18,AQ_000,Delhi
2024-10-05,28.660007632794112,76.9683345399231,103,51.4,53.0,16.5,4.3,1.47,AQ_001,Delhi
2024-10-06,28.522216198954276,77.45336818079988,95,17.4,94.9,82.1,10.1,3.75,AQ_002,Delhi
2024-10-07,28.55515702839206,77.3402443493655,84,36.3,44.5,35.1,4.1,0.52,AQ_003,Delhi
2024-10-08,28.634896715917186,77.26184073731072,98,34.7,29.4,17.1,35.6,1.35,AQ_004,Delhi
2024-10-09,28.627919124419325,77.34263751257181,112,12.6,79.7,2.8,3.7,0.15,AQ_005,Delhi
2024-10-10,28.832838390234265,77.2925428808991,68,29.0,73.0,157.4,2.5,0.59,AQ_006,Delhi
2024-10-11,28.823202939463545,77.22652421733537,86,47.2,34.8,47.0,6.1,2.1,AQ_007,Delhi
2024-10-12,28.56005961106366,77.16283385167831,79,62.4,85.9,11.8,1.2,1.36,AQ_008,Delhi
2024-10-13,28.531603680772072,77.09812865884663,92,58.5,92.1,1.4,3.8,1.43,AQ_009,Delhi
2024-10-14,28.230341809389824,77.2520821421355,100,28.8,46.9,1.4,3.6,0.02,AQ_010,Delhi
2024-10-15,28.53156193800167,77.26318045896575,88,53.6,56.7,56.9,0.0,2.32,AQ_011,Delhi
2024-10-16,28.467191344087357,77.37147982040324,80,44.0,49.4,4.1,11.9,0.04,AQ_012,Delhi
2024-10-17,28.560676331285777,77.23909900130788,52,37.4,47.9,3.7,0.5,1.28,AQ_013,Delhi
2024-10-18,28.67263763635252,77.08101977263291,97,46.0,66.0,1.9,7.5,0.27,AQ_014,Delhi
2024-10-19,28.64047884937985,76.9725650728905,39,35.2,24.5,35.1,20.3,0.83,AQ_015,Delhi
2024-10-20,28.60940479894287,77.18986567569851,49,46.3,46.9,56.5,11.6,0.43,AQ_016,Delhi
2024-10-21,28.643837316663276,77.20488124349657,64,53.0,56.0,84.5,8.4,2.1,AQ_017,Delhi
2024-10-22,28.594982334015352,77.19428626258096,88,43.0,35.2,26.2,8.2,1.99,AQ_018,Delhi
2024-10-23,28.643452839881522,76.97942306539666,94,47.1,71.8,4.9,22.2,0.32,AQ_019,Delhi
2024-10-24,28.129241748812102,77.37016977108033,98,17.0,67.3,30.3,6.1,0.23,AQ_020,Delhi
2024-10-25,28.573505976537387,77.36989446193508,74,37.4,40.5,42.8,0.3,1.21,AQ_021,Delhi
2024-10-26,28.59727239184205,77.08550722530784,99,48.5,49.7,43.0,10.0,0.96,AQ_022,Delhi
2024-10-27,28.562710742569013,77.32989731674333,71,37.5,58.4,26.0,25.1,0.24,AQ_023,Delhi
2024-10-28,28.58120806068456,77.35192462927175,59,50.6,51.3,21.9,2.7,3.05,AQ_024,Delhi
2024-10-29,28.71939651767101,77.21476706149716,81,36.8,55.3,27.3,19.8,1.15,AQ_000,Delhi
2024-10-30,28.524184200298876,77.06672520607088,55,22.6,66.4,15.6,0.1,1.58,AQ_001,Delhi
2024-10-31,28.94400531488257,77.45100723028915,71,17.7,102.0,43.2,18.8,1.26,AQ_002,Delhi
2024-11-01,28.717144539533315,77.26613821506584,79,52.3,61.9,60.5,1.0,0.47,AQ_003,Delhi
2024-11-02,28.61295391236292,77.1713443817182,84,46.2,63.6,7.5,4.2,0.21,AQ_004,Delhi
2024-11-03,28.582900654520365,77.32492680935094,73,40.2,110.2,9.9,16.1,2.26,AQ_005,Delhi
2024-11-04,28.60092165704268,77.45233127317752,79,41.0,27.1,46.1,53.7,1.38,AQ_006,Delhi
2024-11-05,28.476603939508404,77.13442597799667,62,55.7,80.8,16.5,3.7,0.44,AQ_007,Delhi
2024-11-06,28.599619619111298,77.31271338178853,118,54.6,48.2,62.9,4.2,1.3,AQ_008,Delhi
2024-11-07,28.65570252750906,77.50047402560871,78,23.4,71.7,19.2,0.0,0.07,AQ_009,Delhi
2024-11-08,28.700831242335987,77.04151527486468,99,16.7,56.3,0.8,5.2,4.72,AQ_010,Delhi
2024-11-09,28.70085346687165,77.1266119616908,103,39.4,51.0,41.3,13.4,4.01,AQ_011,Delhi
2024-11-10,28.572668368015112,77.11932173791118,87,36.4,69.7,90.5,14.4,0.58,AQ_012,Delhi
2024-11-11,28.40148766212171,77.18525092944262,93,39.7,47.3,22.2,7.3,4.49,AQ_013,Delhi
2024-11-12,28.513534606064983,77.17750393961738,74,46.2,58.1,6.9,14.5,0.15,AQ_014,Delhi
2024-11-13,28.85572895642186,77.25411931590506,95,40.1,52.4,51.3,4.1,2.06,AQ_015,Delhi
2024-11-14,28.748308747011492,77.08594367197979,107,32.5,99.8,8.2,7.3,0.36,AQ_016,Delhi
2024-11-15,28.669342937945625,77.11560047666786,123,46.4,86.3,49.0,14.5,0.49,AQ_017,Delhi
2024-11-16,28.499705863285982,77.25419357259739,83,41.2,90.5,8.8,25.0,0.62,AQ_018,Delhi
2024-11-17,28.61444677324607,77.23223677896006,76,42.9,37.6,9.4,17.3,0.2,AQ_019,Delhi
2024-11-18,28.42554969715063,77.34011197137403,50,42.2,81.7,19.4,22.2,0.24,AQ_020,Delhi
2024-11-19,28.53110946864559,77.27040325373885,80,20.8,68.5,43.9,18.8,0.77,AQ_021,Delhi
2024-11-20,28.577119498747223,77.32477699533412,48,33.3,74.3,24.7,5.7,0.79,AQ_022,Delhi
2024-11-21,28.559654010220218,77.03755719406878,85,30.5,30.9,20.5,42.4,0.84,AQ_023,Delhi
2024-11-22,28.757390289658403,77.15148755333263,75,37.8,105.2,27.0,10.5,2.19,AQ_024,Delhi
2024-11-23,28.401091112894683,77.48625699263252,108,38.0,37.7,8.6,20.1,0.1,AQ_000,Delhi
2024-11-24,28.484085159272727,77.26781170698276,89,39.2,38.5,6.7,10.4,1.62,AQ_001,Delhi
2024-11-25,28.407696804346667,77.32110894423195,70,21.1,63.2,39.0,23.3,0.04,AQ_002,Delhi
2024-11-26,28.428297018096824,77.24991021057443,22,12.2,66.8,7.4,9.2,2.89,AQ_003,Delhi
2024-11-27,28.632508384467,77.27280037853932,111,28.5,45.1,6.0,9.5,0.56,AQ_004,Delhi
2024-11-28,28.37383392004156,77.17436439227077,102,9.8,48.8,16.6,1.4,1.57,AQ_005,Delhi
2024-11-29,28.726980316825646,77.74473688270395,29,36.6,85.2,4.9,9.8,0.02,AQ_006,Delhi
2024-11-30,28.57687763345884,77.14957661163855,75,39.7,63.6,122.8,28.4,0.02,AQ_007,Delhi
2024-12-01,28.624218249878897,77.20325181733853,101,59.5,62.1,26.7,4.0,2.32,AQ_008,Delhi
2024-12-02,28.66228651069958,76.84527455118172,111,52.8,2.6,0.8,6.1,5.14,AQ_009,Delhi
2024-12-03,28.548775021962264,77.3749399986392,66,49.8,31.3,34.3,14.7,0.51,AQ_010,Delhi
2024-12-04,28.768771957363008,77.12616205754726,123,44.1,30.5,9.6,37.5,1.55,AQ_011,Delhi
2024-12-05,28.584748590990856,77.19988088409826,60,41.3,91.1,29.9,4.9,3.35,AQ_012,Delhi
2024-12-06,28.703010538285863,77.12979391736773,115,35.1,39.5,3.6,9.4,0.84,AQ_013,Delhi
2024-12-07,28.584033142586414,77.18819755820877,81,43.1,64.8,15.9,32.4,0.23,AQ_014,Delhi
2024-12-08,28.657531158113738,77.1663629352369,73,29.5,103.7,44.3,21.8,0.18,AQ_015,Delhi
2024-12-09,28.655849400523696,77.20254373363291,87,60.5,74.8,13.8,12.0,2.68,AQ_016,Delhi
2024-12-10,28.65139549091833,77.20107977760193,80,16.4,80.6,4.2,33.4,0.43,AQ_017,Delhi
2024-12-11,28.467753822556862,77.18586920327712,73,11.0,88.2,81.0,3.3,1.05,AQ_018,Delhi
2024-12-12,28.679281365582117,77.18381841601806,96,25.8,59.1,0.4,50.5,1.74,AQ_019,Delhi
2024-12-13,28.566056451635063,77.4052777678489,100,72.4,56.2,3.5,2.6,1.53,AQ_020,Delhi
2024-12-14,28.70847320457349,77.3412125379639,82,32.1,64.5,24.7,23.7,2.07,AQ_021,Delhi
2024-12-15,28.291025983338155,77.34211634776699,91,15.5,67.8,0.2,9.2,0.41,AQ_022,Delhi
